Link,Flow (Mbps),Capacity (Mbps),Utilization (%)
1↔2,45.0,45,100.0
1↔3,26.052619,45,57.89470888888889
1↔5,38.5406487,45,85.64588599999999
2↔6,45.0,45,100.0
3↔4,45.0,45,100.0
3↔14,40.693766000000004,45,90.43059111111111
5↔6,44.9999997,45,99.99999933333332
5↔9,45.0,45,100.0
6↔4,45.0,45,100.0
6↔7,45.0,45,100.0
6↔10,44.9999997,45,99.99999933333332
4↔7,45.0,45,100.0
14↔13,40.693766000000004,45,90.43059111111111
7↔11,45.0000007,45,100.00000155555556
9↔8,9.2583547,45,20.574121555555553
9↔12,26.052619,45,57.89470888888889
10↔8,9.2583547,45,20.574121555555553
10↔11,35.741645,45,79.42587777777777
11↔12,26.052619,45,57.89470888888889
11↔13,45.0,45,100.0
